,CUI,Drug,Indication
1617,"['1364289', '1364290']",Gadofosveset trisodium,gadosveset trisodium is use as a contrast agent in magnetic resonance angiography (mra) evaluate aoriliac occlusive disease (aiod) in adults with known or suspected peripheral vascular disease.
1618,['27946'],Isometheptene, is a sympathomimetic drug which causes vasoconstriction. it is treating migraines and tension headaches.
1619,['132889'],Levonordefrin, as a pical nasal decongestant and vasoconstricr in dentistry.
1620,['847728'],Lumefantrine," and artemether combination therapy is the acute uncomplicated malaria ca by <i>plasmodium falciparum</i>, including malaria acquired in chloroquine-resistant areas. may also be treat uncomplicated malaria when the <i>plasmodium</i> species has not been identified. use in adults and children greater than 5 kg."
1621,['155080'],Methacholine,"it is most commonly diagnosing bronchial hyperreactivity, using the bronchial challenge test."
1622,['6904'],Methyltestosterone,"methyltessterone is an anabolic steroid hormone treat men with a tessterone deficiency. it is also in women treat breast cancer, breast pain, swelling due pregnancy, and with the addition estrogen it can treat sympms menopause."
1623,['7247'],Naphazoline," is primarily in conditions like corneal vascularity, hyperaemia, itching, nasal congestion, and can also be given in adjunctive therapy as an alternative drug choice in sinusitis"
1624,['53692'],Nilvadipine," the vasospastic angina, chronic stable angina and hypertension."
1625,['326374'],Norelgestromin, is contraception and menopausal hormonal therapy. may potentially be in breast cancer due its inhibiry effect on estrone sulfatase . they convert sulfated steroid precursors estrogen during pregnancy.
1626,['8792'],Propylhexedrine,"it is provide temporary sympmatic relief nasal congestion due colds, allergies and allergic rhinitis."
1627,['8597'],Potassium Iodide, is oral antithyroid agent. is as an adjunct other antithyroid agents in the hyperthyroidism and thyroxicosis and preoperatively induce thyroid involution.
1628,['828682'],Fospropofol, monired anaesthesia care sedation in patients undergoing diagnostic procedures like bronchoscopy and colonscopy or minor surgical procedures like arthroscopy and bunionecmy.
1629,['1731071'],Fosaprepitant, the prevention nausea and vomiting associated with highly emegenic cancer chemotherapy.
1630,['10032'],Stanozolol," is a synthetic anabolic steroid with therapeutic uses in treating c1-inhibir deficient hereditary angioedema. c1-inhibir is a protease that inhibits the complement system (part the innate immune system), a biochemical chain reactions which assists the body in removing pathogens from the body. may help control attacks hereditary angioedema. can be administered orally or intramuscularly."
1631,['1825'],Buserelin," may be in the hormone-responsive cancers such as prostate cancer or breast cancer, estrogen-dependent conditions (such as endometriosis or uterine fibroids), and in assisted reproduction."
1632,"['84959', '901805']",Velaglucerase alfa, is a hydrolytic lysosomal glucocerebroside-specific enzyme long-term enzyme replacement therapy pediatric and adult patients with type 1 gaucher disease.
1633,"['612', '81948']",Aluminum hydroxide, relief heartburn and acid indigestion.
1634,"['1897', '349908']",Calcium Carbonate, relief heartburn and acid indigestion. may also be as a nutritional supplement or treat hypocalcemia.
1635,['20890'],Lornoxicam," the acute mild moderate pain, as well as pain and inflammation the joints ca by certain types rheumatic diseases."
1636,['16689'],Aceclofenac," the relief pain and inflammation in osteoarthritis, rheumaid arthritis and ankylosing spondylitis."
1637,['625'],Ambroxol," is as “secrelytic therapy in bronchopulmonary diseases associated with abnormal mucus secretion and impaired mucus transport. it promotes mucus clearance, facilitates expecration and eases productive cough, allowing patients breathe freely and deeply."
1638,['23684'],Drotaverine, in the functional bowel disorders and alleviating pain in renal colic.
1639,['2525'],Chymopapain," injections should preferably be given under local, rather than general, anaesthesia. the dose a single intervertebral disc is 2 4 nanokatals, with a maximum dose per patient 8 nanokatals. [wikipedia]"
1640,['1512'],Glycine betaine,"betaine is the homocystinuria decrease elevated homocysteine blood levels. included within the category homocystinuria are deficiencies or defects in: 1. cystathionine beta-synthase (cbs), 2. 5,10-methylenetetrahydrolate reductase (mthfr), 3. cobalamin cacr metabolism (cbl)."
1641,['6623'],Manganese, use as a supplement intravenous solutions given tal parenteral nutrition (tpn). administration helps maintain plasma levels and prevent depletion endogenous sres and subsequent deficiency sympms.
1642,['214817'],Sacrosidase, the congenital sucrose-isomaltase deficiency (csid).
1643,['46967'],Beractant, is prevention and respirary distress syndrome (rds) in premature infants.
1644,['37935'],Tetryzoline, temporary relief discomt and redness the eye due minor eye irritations.
1645,['1000082'],Alcaftadine, the prevention itching associated with allergic conjunctivitis.
1646,['712'],Ammonium chloride,"1. expecrant in cough syrups. 2. the ammonium ion (nh4+) in the body plays an important role in the maintenance acid-base balance. the kidney uses ammonium (nh4+) in place sodium (na+) combine with fixed anions in maintaining acid-base balance, especially as a homeostatic compensary mechanism in metabolic acidosis. the therapeutic effects depend upon the ability the kidney utilize ammonia in the excretion an excess fixed anions and the conversion ammonia urea by the liver, thereby liberating hydrogen (h+) and chloride (cl–) ions in the extracellular fluid. injection, usp, after dilution in isonic sodium chloride injection, may be in the patients with: (1) hypochloremic states and (2) metabolic alkalosis."
1647,['215247'],Ammonium lactate," the dry, scaly skin (xerosis) and ichthyosis vulgaris and temporary relief itching associated with these conditions."
1648,['134547'],Bendamustine, is use in the chronic lymphocytic leukemia (cll) and indolent b-cell non-hodgkin lymphoma (nhl) that has progressed during or within six months with rituximab or a rituximab-containing regimen.
1649,['1426'],Benzyl alcohol,ulesfia () lotion is the pical head lice infestation in patients 6 months age and older. ulesfia lotion does not have ovicidal activity.
1650,['819911'],Besifloxacin, bacterial conjunctivitis. bacterial isolates that are susceptible include: cdc corynem group g; corynebacterium pseudodiphtheriticum; corynebacterium striatum; haemophilus influenzae; moraxella lacunata; staphylococcus aureus; staphylococcus epidermidis; staphylococcus hominis; staphylococcus lugdunensis; strepcoccus mitis group; strepcoccus oralis; strepcoccus pneumoniae; strepcoccus salivarius*
1651,['996051'],Cabazitaxel, patients with hormone-refracry metastatic prostate cancer previously treated with a docetaxel-containing regimen.
1652,['1992'],Capsaicin,"the 8% patch is in the neuropathic pain associated with post-herpetic neuralgia. there are multiple pical mulations available, including creams and solutions, temporary analgesia in muscle and join pain as well as neuropathic pain."
1653,['401713'],Carglumic Acid, the acute and chronic hyperammonaemia in patients with n-acetylglutamate synthase (nags) deficiency. this enzyme is an important component the urea cycle prevent build up neuroxic ammonium in the blood.
1654,['2323'],Chenodeoxycholic acid,"chenodiol is patients with radiolucent snes in well-opacifying gallbladders, in whom selective surgery would be undertaken except the presence increased surgical risk due systemic disease or age. chenodiol will not dissolve calcified (radiopaque) or radiolucent bile pigment snes."
1655,['67109'],Dalteparin," is as a prophylaxis deep-vein thrombosis and pulmonary embolisms in patients undergoing general surgery (e.g., abdominal, gynecologic, urologic), and in patients with acute medical conditions (e.g. cancer, bed rest, heart failure, severe lung disease). it is also in patients who have severely restricted mobility, which poses a risk thromboembolic complications. is also concomitantly with aspirin and/or other therapy (e.g., nitrates, β-adrenergic blockers, clopidogrel, platelet glycoprotein [gp] iib/iiia-recepr inhibirs) reduce the risk acute cardiac ischemic events. the patients who undergo this combination have unstable angina or non-st-segment elevation/non-q-wave myocardial infarction (i.e., non-st-segment elevation acute coronary syndromes). it is also in the prevention clotting during hemodialysis and hemiltration in connection with acute renal failure or chronic renal insufficiency."
1656,['23043'],Difluprednate, the inflammation and pain associated with ocular surgery.
1657,['3445'],Dimercaprol," the arsenic, gold and mercury poisoning. in acute lead poisoning when concomitantly with edetate calcium disodium (db00974)."
1658,"['24902', '539399']",Prussian blue, patients with known or suspected internal contamination with radioactive cesium and/or radioactive or non-radioactive thallium increase their rates elimination.
1659,['272758'],Gallium citrate Ga 67," injection may be useful demonstrate the presence and extent hodgkin's disease, lymphoma, and bronchogenic carcinoma. positive gallium ga-67 uptake in the absence prior sympms warrants follow-up as an indication a potential disease state. injection may be useful as an aid in detecting some acute inflammary lesions."
1660,['35825'],Ganirelix, the inhibition premature lh surges in women undergoing controlled ovarian hyperstimulation.
