CUI,Drug,Indication
['7005'],mitoxantrone,for the treatment of secondary chronic progressive progressive relapsing or worsening relapsingremitting multiple sclerosis
['4457'],flumazenil,for the complete or partial reversal of the sedative effects of benzodiazepines in cases where general anesthesia has been induced andor maintained with benzodiazepines and where sedation has been produced with benzodiazepines for diagnostic and therapeutic procedures also for the management of benzodiazepine overdose as an adjunct for appropriate supportive and symptomatic measures
['6466'],lomustine,for the treatment of primary and metastatic brain tumors as a component of combination chemotherapy in addition to appropriate surgical andor radiotherapeutic procedures also used in combination with other agents as secondary therapy for the treatment of refractory or relapsed hodgkins disease
['18469'],sparfloxacin,for the treatment of adults with the following infections caused by susceptible strains microorganisms communityacquired pneumonia caused by ichlamydia pneumoniaei ihaemophilus influenzaei ihaemophilus parainfluenzaei imoraxella catarrhalisi imycoplasma pneumoniaei or istreptococcus pneumoniaei and acute bacterial exacerbations of chronic bronchitis caused by ichlamydia pneumoniaei ienterobacter cloacaei ihaemophilus influenzaei ihaemophilus parainfluenzaei iklebsiella pneumoniaei imoraxella catarrhalisi istaphylococcus aureusi or istreptococcus pneumoniaei
['22713'],dezocine,indicated in the treatment of moderate to severe pain
['1813'],levobunolol,for lowering intraocular pressure iop and may be used in patients with chronic openangle glaucoma or ocular hypertension
['21212'],clarithromycin,an alternative medication for the treatment of acute otitis media caused by ih influenzae m catarrhalis or s pneumoniaei in patients with a history of type i penicillin hypersensitivity also for the treatment of pharyngitis and tonsillitis caused by susceptible istreptococcus pyogenesi as well as respiratory tract infections including acute maxillary sinusitis acute bacterial exacerbations of chronic bronchitis mild to moderate communityacquired pneuomia legionnaires disease and pertussis other indications include treatment of uncomplicated skin or skin structure infections helicobacter pylori infection duodenal ulcer disease bartonella infections early lyme disease and encephalitis caused by itoxoplasma gondiii in hiv infected patients in conjunction with pyrimethamine clarithromycin may also decrease the incidence of cryptosporidiosis prevent the occurence of αhemolytic viridans group streptococcal endocarditis as well as serve as a primary prevention for imycobacterium aviumi complex mac bacteremia or disseminated infections in adults adolescents and children with advanced hiv infection
['2193'],ceftriaxone,for the treatment of the infections respiratory skin soft tissue uti ent caused by s pneumoniae h influenzae staphylococci s pyogenes group a betahemolytic streptococci e coli p mirabilis klebsiella sp coagulasenegative staph
['15226'],fomepizole,antizol is indicated as an antidote for ethylene glycol such as antifreeze or methanol poisoning or for use in suspected ethylene glycol or methanol ingestion either alone or in combination with hemodialysis
['10824'],metipranolol,indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open angle glaucoma
['4077'],estazolam,for the shortterm management of insomnia characterized by difficulty in falling asleep frequent nocturnal awakenings andor early morning awakenings
['25025'],finasteride,for the treatment of symptomatic benign prostatic hyperplasia bph in men with an enlarged prostate to improve symptoms reduce the risk of acute urinary retention reduce the risk of the need for surgery including transurethral resection of the prostate also used for the stimulation of regrowth of hair in men with mild to moderate androgenetic alopecia male pattern alopecia hereditary alopecia common male baldness
['84857'],anastrozole,for adjuvant treatment of hormone receptor positive breast cancer as well as hormonal treatment of advanced breast cancer in postmenopausal women has also been used to treat pubertal gynecomastia and mccunealbright syndrome however manufacturer states that efficacy for these indications have not been established
['50749'],halofantrine,for treatment of severe malaria
['3105'],dantrolene,for use along with appropriate supportive measures for the management of the fulminant hypermetabolism of skeletal muscle characteristic of malignant hyperthermia crises in patients of all ages also used preoperatively and sometimes postoperatively to prevent or attenuate the development of clinical and laboratory signs of malignant hyperthermia in individuals judged to be malignant hyperthermia susceptible
['35619'],rifaximin,rifaximin has multiple indications by the fda for the treatment of patients 12 years of age with travellers diarrhea caused by noninvasive strains of escherichia coli for the reduction of overt hepatic encephalopathy recurrence in patients 18 years of age and in may 2015 it was approved for irritable bowel syndrome with diarrhea ibsd treatment in adult men and women
['6130'],ketamine,for use as the sole anesthetic agent for diagnostic and surgical procedures that do not require skeletal muscle relaxation
['19831'],budesonide,the oral capsule is used for the treatment of mild to moderate active crohns disease the oral tablet is used for induction of remission in patients with active mild to moderate ulcerative colitis the oral inhalation formulation is used for the treatment of asthma noninfectious rhinitis including hay fever and other allergies and for treatment and prevention of nasal polyposis
['689'],aminophylline,for the treatment of bronchospasm due to asthma emphysema and chronic bronchitis
"['51272', '221153']",quetiapine,for the treatment of schizophrenia and related psychotic disorders
"['67108', '221095']",enoxaparin,for the prophylaxis of deep vein thrombosis which may lead to pulmonary embolism and also for the prophylaxis of ischemic complications of unstable angina and nonqwave myocardial infarction when concurrently administered with aspirin
