['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['11423'],Zinc oxide,"For adjunctive treatment of diaper dermatitis. Also, it can be used to treat minor skin irritations (eg, cuts, burns, and scrapes, poison ivy). Zinc oxide can be used in ointments, creams, and lotions to protect against sunburn and other damage to the skin caused by ultraviolet light."
['39954'],Zinc sulfate,"This medication is a mineral used to treat or prevent low levels of zinc. In medicine it is used together with oral rehydration therapy (ORT) and an astringent. Zinc Sulfate Injection, USP is indicated for use as a supplement to intravenous solutions given for TPN. "
['7982'],Benzathine benzylpenicillin,"For the treatment of several infections include: acute glomerulonephritis, respiratory tract infections, rheumatic fever and chorea, rheumatic heart disease, rheumatic heart disease, syphilis and other venereal diseases."
['10167'],Sulbactam,"Sulbactam is currently available in combination products with ampicillin. Within this formulation it is indicated  for the treatment of infections due to susceptible strains of the designated microorganisms in the conditions listed below. Skin and Skin Structure Infections caused by beta-lactamase producing strains of Staphylococcus aureus, Escherichia coli, Klebsiella spp. (including K. pneumoniae), Proteus mirabilis, Bacteroides fragilis, Enterobacter spp., and Acinetobacter calcoaceticus. Intra-Abdominal Infections caused by beta-lactamase producing strains of Escherichia coli, Klebsiella spp. (including K. pneumoniae), Bacteroides spp. (including B. fragilis), and Enterobacter spp. Gynecological Infections caused by beta-lactamase producing strains of Escherichia coli, and Bacteroides spp. (including B. fragilis)."
['9873'],Sodium fluoride,To prevent cavities.
['1305558'],Ammonia N-13,For diagnostic Positron Emission Tomography (PET) imaging of the myocardium under rest or pharmacologic stress conditions to evaluate myocardial perfusion in patients with suspected or existing coronary artery disease.
['466977'],Tegafur-uracil,For the treatment of cancer.
['1741397'],"Antihemophilic Factor (Recombinant), PEGylated",For the treatment of hemophilia A (congenital factor VIII deficiency).
['1721560'],Osimertinib,"Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy."
['1721947'],Daratumumab,For the treatment of patients with multiple myeloma who have received at least three prior lines of therapy (a proteasome inhibitor (PI) and an immunomodulatory agent) or who are double-refractory to a PI and an immunomodulatory agent. This indication was approved by accelerated approval based on response rate.
['52549'],Kappadione,
['5976'],Iopodic acid,
['141440'],Alatrofloxacin,
['411'],Medical air,For use as a source of clean air [FDA Label].
['6774'],Mersalyl,
['4850'],Glucose,"Glucose pharmaceutical formulations (oral tablets, injections) are indicated for caloric supply and carbohydrate supplementation in case of nutrient deprivation. It is also used in metabolic disorders such as hypoglycemia."
['1670304'],Tipiracil,"Tipiracil, in combination with trifluridine, is indicated for the treatment of refractory mestastatic colorectal cancer patients who keep progressing despite of treatment with standard chemotherapy and biologics.[A31256]"
['27712'],Invert sugar,
['34347'],Pramocaine,"It is indicated for  temporary relief of pain and pruritus from minor lip and skin irritations as well as for temporary relief from pain, burning, itching and discomfort associated with hemorrhoids and other anorectal/anogenital disorders. "
['1311565'],beta-Propiolactone,
['5920'],Gastric intrinsic factor,"Intrinsic factor is not currently available in any FDA or Health Canada approved products. However, it is currently in the marketed (but unapproved) product Hematogen in combination with cyanocobalamin (synthetic Vitamin B12), ferrous  fumarate, and ascorbic acid for the treatment of anemias responsive to oral iron therapy. "
['8345'],Piperonyl butoxide,"For the treatment of head, pubic (crab), and body lice."
['353497'],Levobetaxolol,Used in the treatment of open-angle glaucoma and ocular hypertension [FDA Label].
['7839'],Hydroxyamphetamine,Mydriatic agent (eye pupil dilatation) for diagnosis of ophthalmic nerve lesions.
['10223'],Sulfur,"Topically it is indicated for dandruff, acne, Hayfever, common cold, scaly and red skin patches (seborrheic dermatitis). Poison ivy, and sumac infections. "
"['22701', '1044977']",Dexpanthenol,"Injection: Prophylactic use immediately after major abdominal surgery to minimize the possibility of paralytic ileus. Intestinal atony causing abdominal distention; postoperative or postpartum retention of flatus, or postoperative delay in resumption of intestinal motility; paralytic ileus. Topical: This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). "
"['599', '317836']",Rauwolfia serpentina root,
['10328'],Tannic acid,"Tannic acid is indicated for cold sores, fever blisters, diaper rash, minor burn or sunburn and prickly heat. Vaginally, tannic acid is used as a douche for leukorrhea. It has been also indicated for sore throat, inflamed tonsils, spongy or receding gums, and acute dermatitis."
['5775'],Indocyanine green,"For Determining Cardiac Output, Hepatic Function and Liver Blood Flow For ophthalmic angiography"
['2530'],Chymotrypsin,
['28456'],Lapyrium,"Used as a surfactant, antistatic agent, and biocide in cosmetic products [A19426]."
['227410'],Sutilains,
['214549'],"Estrogens, esterified","Esterified estrogens are indicated to replace estrogen in women with ovarian failure or other conditions that cause a lack of natural estrogen in the body. It is also indicated for the treatment of symptoms of breast cancer in both men and women. In men it can be used for the treatment of advanced prostate cancer. It is also indicated for the treatment of menopausal symptoms.  "
['7518'],Norgestrel,Norgestrel in combination with ethinyl estradiol is indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception.
['8259'],Phosphoric acid,"Phosphoric acid is used in dentistry and orthodontics as an etching solution, to clean and roughen the surfaces of teeth where dental appliances or fillings will be placed."
"['56443', '267453']",Sodium acetate,"Injection, USP 40 mEq is indicated as a source of sodium, for addition to large volume intravenous fluids to prevent or correct hyponatremia in patients with restricted or no oral intake. It is also useful as an additive for preparing specific intravenous fluid formulas when the needs of the patient cannot be met by standard electrolyte or nutrient solutions. Sodium acetate and other bicarbonate precursors are alkalinising agents, and can be used to correct metabolic acidosis, or for alkalinisation of the urine."
['8786'],Propoxyphene napsylate,Propoxyphene is a centrally acting opiate analgesic. It is indicated for the relief of mild to moderate pain
['1423270'],Technetium Tc-99m sulfur colloid,"Technetium 99m sulfur colloid is indicated as a diagnostic agent in adults for the following tests: localization of lymph nodes draining a primary tumor in patients with breast cancer or malignant melanoma; and evaluation of peritoneo-venous (LeVeen) shunt patency. It is indicated in both adult and pediatric patients for: imaging areas of functioning reticuloendothelial cells in the liver, spleen and bone marrow; and studies of esophageal transit and gastroesophageal reflux, and detection of pulmonary aspiration of gastric contents."
['1311495'],Sodium fluoride F-18,"18F is used as a bone imaging agent to define areas of altered osteogenic activity.  It has been indicated for back pain  and otherwise unexplained bone pain, child abuse, abnormal radiographic or laboratory findings, osteomyelitis, trauma, inflammatory and degenerative arthritis, avascular necrosis. Osteonecrosis of the mandible, condylar hyperplasia, and metabolic bone disease are also among the indications for fluoride imaging. "
"['6579', '1311539']",Magnesium chloride,"Magnesium chloride  is used in several medical and topical (skin related) applications. Magnesium chloride usp, anhydrous uses as electrolyte replenisher, pharmaceutic necessity for hemodialysis and peritoneal dialysis fluids."
